run_id,representation_id,method,parameters,seed,sample_rule,silhouette,davies_bouldin,calinski_harabasz,inertia,runtime_s,notes
20260605_124405_0f286a,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",42,sample_size=10000,0.1868,1.998,23955.3,537030.2118,1.4992,k-selection sweep
20260605_124413_251b31,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",0,sample_size=10000,0.1871,2.002,23958.2,537018.7839,1.4017,k-selection sweep
20260605_124420_104bba,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",123,sample_size=10000,0.1871,2.002,23958.2,537018.7945,1.4808,k-selection sweep
20260605_124428_3be44c,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",7,sample_size=10000,0.1871,2.002,23958.2,537018.7839,1.4034,k-selection sweep
20260605_124435_bf1f93,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",99,sample_size=10000,0.1871,2.002,23958.2,537018.7839,1.4571,k-selection sweep
20260605_124442_fe1377,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",67,sample_size=10000,0.1871,2.002,23958.2,537018.8482,1.4476,k-selection sweep
20260605_124450_3b74e2,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",420,sample_size=10000,0.1871,2.002,23958.2,537018.8482,1.4682,k-selection sweep
20260605_124457_b94c7d,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",20,sample_size=10000,0.1871,2.002,23958.2,537019.0113,1.4575,k-selection sweep
20260605_124505_72dbcf,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",321,sample_size=10000,0.1871,2.002,23958.2,537018.7839,1.2917,k-selection sweep
20260605_124512_56446d,R0,kmeans,"{'n_clusters': 2, 'n_init': 10}",38,sample_size=10000,0.1871,2.002,23958.2,537018.7839,1.4973,k-selection sweep
20260605_124520_2d58a1,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",42,sample_size=10000,0.2062,1.6545,25919.5,449573.3052,1.5402,k-selection sweep
20260605_124527_d517d4,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",0,sample_size=10000,0.2061,1.6546,25919.5,449573.3459,1.5458,k-selection sweep
20260605_124534_95602b,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",123,sample_size=10000,0.2061,1.6546,25919.5,449573.2821,1.4793,k-selection sweep
20260605_124542_a04d22,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",7,sample_size=10000,0.2061,1.6545,25919.5,449573.3012,1.5408,k-selection sweep
20260605_124549_3ef9e9,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",99,sample_size=10000,0.2061,1.6546,25919.5,449573.3698,1.5872,k-selection sweep
20260605_124556_c1c87a,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",67,sample_size=10000,0.2061,1.6546,25919.5,449573.3203,1.5267,k-selection sweep
20260605_124604_79f717,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",420,sample_size=10000,0.2061,1.6546,25919.5,449573.3428,1.572,k-selection sweep
20260605_124611_dc48c6,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",20,sample_size=10000,0.2061,1.6545,25919.5,449573.3254,1.5478,k-selection sweep
20260605_124619_dffecc,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",321,sample_size=10000,0.2061,1.6547,25919.5,449573.203,1.5651,k-selection sweep
20260605_124626_0e0206,R0,kmeans,"{'n_clusters': 3, 'n_init': 10}",38,sample_size=10000,0.2061,1.6546,25919.5,449573.3305,1.5329,k-selection sweep
20260605_124633_d5fc73,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",42,sample_size=10000,0.2145,1.4804,24496.1,399108.4745,1.7999,k-selection sweep
20260605_124641_077026,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",0,sample_size=10000,0.2145,1.4805,24496.1,399108.8741,1.7571,k-selection sweep
20260605_124648_ed20b2,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",123,sample_size=10000,0.2145,1.4805,24496.1,399108.8741,1.7158,k-selection sweep
20260605_124656_0536c4,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",7,sample_size=10000,0.2144,1.4804,24496.1,399108.4776,1.7863,k-selection sweep
20260605_124703_5d78fc,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",99,sample_size=10000,0.2145,1.4805,24496.1,399108.8741,1.7517,k-selection sweep
20260605_124711_e2d007,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",67,sample_size=10000,0.2144,1.4805,24496.1,399108.3592,1.7565,k-selection sweep
20260605_124718_959ccf,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",420,sample_size=10000,0.2146,1.4804,24496.1,399108.7575,1.6678,k-selection sweep
20260605_124725_96b72e,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",20,sample_size=10000,0.2146,1.4805,24496.0,399109.0463,1.678,k-selection sweep
20260605_124733_6196e2,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",321,sample_size=10000,0.2145,1.4804,24496.1,399108.8202,1.7096,k-selection sweep
20260605_124740_9bc165,R0,kmeans,"{'n_clusters': 4, 'n_init': 10}",38,sample_size=10000,0.2144,1.4805,24496.1,399108.6894,1.7763,k-selection sweep
20260605_124748_350a9c,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",42,sample_size=10000,0.2001,1.5581,22894.0,364887.2352,1.837,k-selection sweep
20260605_124755_cbd490,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",0,sample_size=10000,0.2002,1.558,22894.0,364887.1311,1.9152,k-selection sweep
20260605_124802_8bff87,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",123,sample_size=10000,0.2304,1.3731,23770.5,358922.4103,1.7299,k-selection sweep
20260605_124810_6bb898,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",7,sample_size=10000,0.2304,1.3731,23770.5,358922.1722,1.8359,k-selection sweep
20260605_124817_4ffe2b,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",99,sample_size=10000,0.2304,1.3731,23770.5,358922.1566,1.7302,k-selection sweep
20260605_124825_cd79aa,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",67,sample_size=10000,0.2304,1.3731,23770.5,358922.1558,1.7068,k-selection sweep
20260605_124832_0d5753,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",420,sample_size=10000,0.2303,1.3733,23770.5,358922.4714,1.738,k-selection sweep
20260605_124840_5942d6,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",20,sample_size=10000,0.2304,1.3731,23770.5,358922.1648,1.7743,k-selection sweep
20260605_124847_4b60b4,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",321,sample_size=10000,0.2001,1.5581,22894.0,364887.2626,1.774,k-selection sweep
20260605_124854_84e4ce,R0,kmeans,"{'n_clusters': 5, 'n_init': 10}",38,sample_size=10000,0.2001,1.5582,22894.0,364887.4323,1.8395,k-selection sweep
20260605_124902_55069f,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",42,sample_size=10000,0.2176,1.4281,22543.1,331651.9282,1.8236,k-selection sweep
20260605_124909_1be710,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",0,sample_size=10000,0.2175,1.428,22544.0,331645.8881,1.8913,k-selection sweep
20260605_124916_3b0d2d,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",123,sample_size=10000,0.2154,1.4529,22524.7,331783.6443,1.8446,k-selection sweep
20260605_124924_4c9e86,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",7,sample_size=10000,0.2175,1.4279,22544.0,331645.7628,1.8591,k-selection sweep
20260605_124931_b575c3,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",99,sample_size=10000,0.2283,1.4479,21823.0,336877.6554,1.8328,k-selection sweep
20260605_124939_dc858d,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",67,sample_size=10000,0.2175,1.428,22544.0,331645.7912,1.7536,k-selection sweep
20260605_124946_abbf4b,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",420,sample_size=10000,0.2178,1.4277,22544.6,331640.89,1.738,k-selection sweep
20260605_124953_3d0569,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",20,sample_size=10000,0.2178,1.4277,22544.6,331641.0942,1.8278,k-selection sweep
20260605_125001_792984,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",321,sample_size=10000,0.2178,1.4277,22544.6,331640.8897,1.8714,k-selection sweep
20260605_125008_c7e00c,R0,kmeans,"{'n_clusters': 6, 'n_init': 10}",38,sample_size=10000,0.2175,1.4279,22544.0,331645.6683,1.8554,k-selection sweep
20260605_125016_bc244b,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",42,sample_size=10000,0.2341,1.3586,22409.3,303245.5094,2.1868,k-selection sweep
20260605_125023_955c1b,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",0,sample_size=10000,0.2341,1.3585,22409.3,303245.5802,1.8994,k-selection sweep
20260605_125031_b4a5eb,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",123,sample_size=10000,0.2341,1.3586,22409.3,303245.4877,1.8922,k-selection sweep
20260605_125038_b5a191,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",7,sample_size=10000,0.2341,1.3586,22409.3,303245.4944,1.8596,k-selection sweep
20260605_125045_da04d2,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",99,sample_size=10000,0.2341,1.3585,22409.3,303245.5404,2.0139,k-selection sweep
20260605_125053_2a393a,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",67,sample_size=10000,0.2341,1.3586,22409.3,303245.7343,1.8341,k-selection sweep
20260605_125100_7ae4fc,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",420,sample_size=10000,0.2341,1.3586,22409.3,303245.4964,1.9477,k-selection sweep
20260605_125108_26a7f4,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",20,sample_size=10000,0.2341,1.3586,22409.3,303245.5359,1.9566,k-selection sweep
20260605_125115_41c30c,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",321,sample_size=10000,0.2341,1.3586,22409.3,303245.4932,1.9591,k-selection sweep
20260605_125123_479dec,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",38,sample_size=10000,0.2341,1.3586,22409.3,303245.4911,1.8139,k-selection sweep
20260605_125130_5087ac,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",42,sample_size=10000,0.1965,1.404,20942.2,289403.7621,2.0242,k-selection sweep
20260605_125138_105f62,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",0,sample_size=10000,0.2321,1.3531,21105.7,288163.1287,2.0142,k-selection sweep
20260605_125145_c9431c,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",123,sample_size=10000,0.1997,1.4018,20939.7,289422.4963,2.0998,k-selection sweep
20260605_125153_74b716,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",7,sample_size=10000,0.1997,1.4017,20939.7,289422.5201,1.8965,k-selection sweep
20260605_125200_558747,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",99,sample_size=10000,0.1965,1.4039,20942.2,289403.7574,2.0069,k-selection sweep
20260605_125207_7bf4dd,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",67,sample_size=10000,0.1997,1.4018,20939.7,289422.5253,1.9684,k-selection sweep
20260605_125215_1ad91a,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",420,sample_size=10000,0.2321,1.3531,21105.8,288163.0449,2.0336,k-selection sweep
20260605_125223_e76598,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",20,sample_size=10000,0.227,1.4684,20824.0,290306.5708,1.9976,k-selection sweep
20260605_125230_c918b6,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",321,sample_size=10000,0.2319,1.3554,21104.8,288170.3446,1.9883,k-selection sweep
20260605_125237_0e5873,R0,kmeans,"{'n_clusters': 8, 'n_init': 10}",38,sample_size=10000,0.2319,1.3555,21104.8,288170.4651,1.9396,k-selection sweep
20260605_125246_0eab56,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",42,full,0.2341,1.3586,22409.3,303245.5094,2.0151,final run StandardScaler no ADR
20260605_125253_3d007c,R0,kmeans,"{'n_clusters': 7, 'n_init': 10}",42,full,0.2341,1.3586,22409.3,303245.5094,1.8979,final run StandardScaler no ADR
20260605_125307_04f2c9,R1,kmeans,"{'n_clusters': 7, 'n_init': 10}",42,full,0.2381,1.3471,24061.0,256758.3197,2.1247,final run RobustScaler no ADR
20260605_125315_cbe153,R2,kmeans,"{'n_clusters': 7, 'n_init': 10}",42,full,0.1939,1.5082,18924.9,391650.5176,2.5198,final run StandardScaler with ADR
20260605_125438_6c3954,R0,ikmeans,"{'min_cluster_size': 1000, 'use_unit_ranges': True, 'n_clusters': 9}",,full,0.2027,1.4387,19364.7,280621.2339,0.0973,ikmeans_sweep min_size=1000
20260605_125610_7000e8,R0,ikmeans,"{'min_cluster_size': 1500, 'use_unit_ranges': True, 'n_clusters': 9}",,full,0.2027,1.4387,19364.7,280621.2339,0.0927,ikmeans_sweep min_size=1500
20260605_125738_dc156b,R0,ikmeans,"{'min_cluster_size': 2000, 'use_unit_ranges': True, 'n_clusters': 8}",,full,0.2183,1.4328,19608.4,299932.1704,0.0931,ikmeans_sweep min_size=2000
20260605_125910_036012,R0,ikmeans,"{'min_cluster_size': 2500, 'use_unit_ranges': True, 'n_clusters': 8}",,full,0.2183,1.4328,19608.4,299932.1704,0.096,ikmeans_sweep min_size=2500
